tokenName	tokenChar	tokenValue	
CLUB	a	CLUB	
DIAMOND	b	DIAMOND	
HEART	c	HEART	
SPADE	d	SPADE	
NT	e	NT	
POINT	f	POINT	
TOTAL_POINTS	g	TOTAL POINTS	
CARD	h	CARD	
SUIT	i	SUIT	
COUNT	j	COUNT	
NAME	m	NAME	
NUMBER	n	NUMBER	
ONE	o	ONE	
TWO	p	TWO	
THREE	q	THREE	
FOUR	r	FOUR	
FIVE	s	FIVE	
SIX	t	SIX	
SEVEN	u	SEVEN	
EIGHT	v	EIGHT	
NINE	w	NINE	
TEN	x	TEN	
JACK	y	JACK	
QUEEN	z	QUEEN	
KING	A	KING	
ACE	B	ACE	
ANY	*	ANY	
AND	&	AND	
OR	|	OR	
LEFT_PAR	(	LEFT PAR	
RIGHT_PAR	)	RIGHT PAR	
LEFT_CURLY	{	LEFT CURLY	
RIGHT_CURLY	}	RIGHT CURLY	
LEFT_BRACKET	[	LEFT BRACKET	
RIGHT_BRACKET	]	RIGHT BRACKET	
EXCLAME	!	EXCLAMATION POINT	
ATSYMB	@	AT SYMBOL	
POUND	#	POUND	
DOLLAR	$	DOLLAR SIGN	
PERC	%	PERC	
HAT	^	HAT	
UNDER	_	UNDER SCORE	
HYPHEN	-	 HYPHEN/MINUS	
PLUS	+	PLUS	
EQUAL	=	EQUAL	
COLON	:	COLON	
SEMI_COLON	;	SEMI COLON	
DOUBLE_QUOTE	""""		DOUBLE QUOTE
SINGLE_QUOTE	'	SINGLE QUOTE	
BACK_SLASH	\\	BACK SLASH	
LESS	<	LESS	
COMMA	","	COMMA	
PERIOD	.	PERIOD	
GREATER	>	GREATER	
QUESTION	?	QUESTION	
FORW_SLASH	/	FORWARD SLASH	
CR_LF	\n	NEW LINE	
SPACE	 	SPACE	
TAB	\t	TAB	
